Disease,Symptoms,Description,Emergency
림프종,"무기력, 체중 감소, 복부 종괴",림프계 암으로 장기적으로 심각한 상태를 유발. 빠른 진단과 치료가 필수적.,예
췌장염,"구토, 설사, 복부 통증",췌장의 염증으로 인해 소화 장애가 발생. 적절한 약물 치료 필요.,예
고관절 이형성증,"절뚝거림, 움직임 거부, 통증",유전적 문제로 관절이 비정상적으로 형성. 고령 고양이에서 흔함.,아니오
눈 감염,"눈곱, 눈 충혈, 가려움",바이러스나 세균 감염으로 발생. 방치 시 시력 손상 가능.,아니오
중이염,"귀 통증, 균형 장애, 고개 기울임",귀 감염이 중이에 영향을 미친 상태. 청력 손상 위험 있음.,아니오
고양이 천식,"기침, 숨소리, 호흡 곤란",기관지의 염증으로 인해 발생. 스테로이드 치료 필요.,아니오
피부 알레르기,"가려움, 피부 발진, 탈모",환경적 또는 식이 알레르기로 인해 피부 문제 발생. 원인 제거가 중요.,아니오
빈혈,"잇몸 창백, 무기력, 숨 가쁨",혈액 내 적혈구 감소로 인해 발생. 영양 결핍 또는 기생충 감염이 원인일 수 있음.,아니오
비만,"체중 증가, 무기력, 움직임 감소",지속적인 과식으로 인한 상태. 체중 관리 필요.,아니오
구토,"소화되지 않은 음식, 물 거부, 무기력","식중독, 헤어볼, 소화기 질환 등 원인 다양. 잦은 구토는 병원 방문 권장.",아니오
배뇨 곤란,"소변량 감소, 통증, 핏빛 소변",요로 감염 또는 결석으로 인해 발생. 조기 치료 필수.,예
간염,"식욕 부진, 황달, 무기력",간 기능 저하로 독소가 쌓이는 질환. 약물 치료 필요.,예
장폐색,"구토, 복부 팽창, 배변 없음",장에 이물질이 막혀 소화가 불가능한 상태. 수술 필요.,예
피부 종양,"피부 돌출물, 출혈, 가려움",양성 또는 악성 종양으로 피부에 병변 발생. 조직검사 권장.,아니오
코로나바이러스,"설사, 열, 무기력",장 감염을 일으키는 바이러스. 백신과 치료법 중요.,아니오
심장질환,"기침, 무기력, 체중 감소",심장 기능에 문제가 발생하여 기침과 호흡 곤란이 발생. 조기 치료가 중요.,예
간경화,"식욕 부진, 구토, 황달",간 기능 저하로 독소가 체내에 축적되어 나타나는 질환. 장기적인 치료가 필요.,예
심장비대증,"기침, 숨 가쁨, 무기력",심장 근육이 비대해져 혈액 순환에 문제가 생김. 치료가 필요.,예
기생충 감염,"구토, 설사, 체중 감소",기생충 감염으로 인해 위장에 문제가 발생. 구충 치료가 필요.,아니오
비타민 결핍,"식욕 감소, 탈모, 무기력",특정 비타민이 부족할 때 나타나는 증상. 비타민 보충이 필요.,아니오
불안 장애,"과도한 그루밍, 신경질, 무기력",스트레스나 불안으로 인해 발생. 행동 치료가 필요.,아니오
허피스 바이러스,"눈물, 콧물, 기침",고양이 호흡기 바이러스 감염. 증상 완화 치료가 필요.,아니오
구토물에 피,"구토, 피가 섞인 물",위장 내 출혈 가능성. 즉시 병원 방문이 필요.,예
골절,"절뚝거리기, 비정상적 자세",사고로 인한 뼈 골절. 응급 치료와 수술 필요.,예
우울증,"식욕 감소, 무기력, 활동 부족",정서적 문제로 인해 식사나 활동에 변화가 있음. 환경 변화나 치료가 필요.,아니오
소화불량,"구토, 식사 거부",소화 기관의 문제로 식사 후 불편함을 겪음. 약물 치료가 필요.,아니오
과잉 그루밍,"털 빠짐, 피부 발진",스트레스나 불안으로 인해 과도한 그루밍을 함. 행동 치료가 필요.,아니오
기침,"기침, 숨소리 변화",기침이 지속될 경우 호흡기 질환의 가능성 있음. 병원 방문 필요.,아니오
배변 문제,"배변 거부, 변비",배변에 문제가 생겼을 때. 대체적으로 소화 불량이나 스트레스 때문.,아니오
탈수,"입이 마르고, 무기력",탈수로 인해 체액 부족이 발생. 충분한 수분 보충이 필요.,예
피부 염증,"붉은 피부, 가려움",피부에 염증이 생겨 붉어지거나 부풀어 오름. 염증 치료 필요.,아니오
심한 피로,"잦은 잠, 무기력",장기적인 피로로 활동이 힘든 상태. 병원 방문 필요.,아니오
치은염,"입 냄새, 식사 거부",잇몸에 염증이 생겨 통증이 유발됨. 치과 치료 필요.,아니오
고양이 면역 결핍 바이러스(FIV),"식욕 감소, 체중 감소, 열",고양이 면역체계가 약화되는 바이러스. 다른 질병에 쉽게 걸릴 수 있음.,아니오
코막힘,"호흡 곤란, 기침, 코막힘",감기나 호흡기 질환으로 인해 코가 막히는 증상. 증상이 심해지면 치료가 필요.,아니오
골수 이형성증,"빈혈, 쇠약, 피부 창백",골수의 이상으로 정상적인 혈액 세포 생성이 어려운 상태. 진단 후 치료 필요.,예
진드기,"피부 발진, 비듬, 가려움",피부에 기생하는 진드기로 인한 증상. 치료가 필요.,아니오
목 부종,"부은 목, 호흡 곤란",목 부위에 물혹 또는 종양이 생기는 경우. 빠른 진단과 치료가 필요.,예
신경학적 장애,"보행 이상, 균형 감각 저하",뇌 또는 신경계에 문제가 생기면 보행 장애 및 균형 감각 상실이 나타남. 즉시 병원 방문 필요.,예
양성 종양,"불규칙한 종양, 출혈",피부나 장기 내 양성 종양이 발생. 생명에 지장이 없지만 주기적인 관찰 필요.,아니오
타르 치료,"호흡 곤란, 재채기, 기침",타르가 기관에 축적되어 발생하는 질병. 흡입 치료가 필요.,아니오
눈꺼풀 이상,"눈꺼풀 붓기, 발적",눈꺼풀의 염증 또는 기타 이상. 안과적 치료 필요.,아니오
흉막염,"숨 가쁨, 호흡 곤란",흉막에 염증이 생기면 호흡에 어려움이 생김. 치료가 필요.,예
각막염,"눈 충혈, 눈물 흘림, 빛에 민감",각막에 염증이 발생하면 눈에 불편함이 생김. 약물 치료 필요.,아니오
위장관 출혈,"구토에 피 섞임, 설사",소화 기관 내 출혈이 발생한 상태. 응급 치료가 필요.,예
황달,피부와 눈의 황색 변색,간이나 담즙 문제가 있을 때 나타나는 증상. 즉각적인 병원 치료가 필요.,예
식도염,"식사 거부, 구토, 타액",식도에 염증이 생겨서 소화가 어려워짐. 약물 치료 필요.,아니오
폐렴,"기침, 호흡 곤란, 발열",폐 감염으로 인해 폐렴이 발생. 항생제와 산소 치료가 필요.,예
화상,"피부 발적, 물집, 통증",화상으로 인한 피부 손상. 통증 완화 및 치료가 필요.,예
피부 탈모,"털 빠짐, 가려움, 피부 발진",피부 염증이나 알레르기 반응으로 인한 탈모. 원인에 맞는 치료 필요.,아니오
미세먼지 민감성,"기침, 재채기, 눈물",미세먼지나 환경오염이 원인인 호흡기 질환. 환경을 개선하고 치료가 필요.,아니오
독성 식물 중독,"구토, 침 흘림, 경련",독성이 있는 식물을 섭취한 경우. 독극물 제거와 치료가 필요.,예
스포츠 손상,"절뚝거림, 관절 부위 부기",운동이나 활동 중 발생한 외상. 관절 보호와 치료 필요.,아니오
식이 부적응,"배탈, 설사, 식사 거부",식사에 대한 불편함이나 부적응. 식이 조정이 필요.,아니오
심장 질환,"기침, 숨가쁨, 체중 감소",심장이 약해져 호흡기 문제가 발생. 진단 후 치료가 필요.,예
역류성 식도염,"구토, 타액 증가",위산이 식도로 역류하여 발생. 약물 치료와 식이 요법 필요.,아니오
결핵,"기침, 발열, 체중 감소",결핵균 감염으로 발생하는 질환. 항결핵제 치료가 필요.,예
급성 위염,"구토, 복통, 식사 거부",급성 위염으로 인해 발생한 소화 문제. 치료가 필요.,아니오
